Sample	group	batch	timepoint
1_20200317_TCRMxCcl19-EYFP_balbc_PDPN_v3	TCRMxCcl19	batch1	8w
2_20200317_TCRMxCcl19-EYFP_balbc_PDPN_v3	TCRMxCcl19	batch1	8w
3_20200317_Ccl19-EYFP_balbc_PDPN_v3	Ccl19	batch1	8w
4_20200317_Ccl19-EYFP_balbc_PDPN_v3	Ccl19	batch1	8w
6_20200610_TCRM_balbc_4w_PDPN_v3	TCRMxCcl19	batch2	4w
7_20200610_TCRM_balbc_4w_PDPN_v3	TCRMxCcl19	batch2	4w
8_20200610_TCRM_balbc_12w_PDPN_v3	TCRMxCcl19	batch2	12w
9_20200610_TCRM_balbc_8w_PDPN_v3	TCRMxCcl19	batch2	8w
10_20200610_Littermate_control_balbc_4w_PDPN_v3	Ccl19	batch2	4w
11_20200610_Littermate_control_balbc_4w_PDPN_v3	Ccl19	batch2	4w
